Letters,Central Letter,Total Words,Total Points
ACDIMNY,M,68,294
ACDIMNY,I,71,344
ACDIMNY,D,62,311
ACDIMNY,C,52,288
ACEGIRS,G,72,369
ACEGIRS,C,98,548
ADEGIPY,A,55,204
AEIMNOU,O,67,295
AEIMNOU,I,77,379
AEIMNOU,E,51,228
AEIMNOU,A,92,384
AEFIMOR,O,61,256
AEFIMOR,I,76,305
AEFIMOR,F,66,285
AEFIMOR,E,96,419
AEFIMOR,A,99,395
ABCEIOR,O,70,304
ABCEIOR,I,80,379
ABCEIOR,C,99,492
ABCEIOR,B,92,418
ABEIORS,O,68,314
ABEIORS,I,99,462
AEFILOR,O,68,264
AEGLORY,Y,92,451
AEGLORY,O,90,408
AENORTU,U,86,439
AEILORS,O,98,460
AEILSTV,V,99,524
ABEOSTU,U,60,247
ABEOSTU,O,62,261
ABEOSTU,E,96,404
ABEOSTU,B,84,309
ABEOSTU,A,97,375
ABFILTY,T,57,251
ABFILTY,L,79,353
ABFILTY,I,63,275
ABFILTY,B,52,246
ABFILTY,A,84,376
ABEFLNS,N,76,397
ABEFLNS,B,78,356
ACEFITV,T,52,263
ACEFITV,A,53,251
ACDEFIN,F,62,341
ACDEFIN,C,97,565
ADEFILT,F,84,364
AFILNOT,F,68,344
ADEFIMR,F,68,321
AFINOTX,T,59,314
AFINOTX,O,51,270
AFINOTX,N,73,381
AFINOTX,I,75,365
AFINOTX,A,69,356
ACEFLNU,U,50,227
ACEFLNU,N,64,321
ACEFLNU,L,97,410
ACEFLNU,E,71,330
ACEFLNU,C,66,331
ACEFLNU,A,91,425
AEFLNTU,U,67,294
AEFLNTU,N,83,417
AEFLNTU,F,61,277
AEFORST,F,97,480
ACEFIRT,F,100,527
AFGHIRT,T,66,270
AFGHIRT,R,64,267
AFGHIRT,I,67,277
AFGHIRT,A,74,281
AFINOSU,S,78,353
AFINOSU,N,90,404
AFINOSU,I,68,316
AFINOSU,A,70,300
ACDFINO,O,71,305
ACDFINO,N,87,401
ACDFINO,I,77,366
ACDFINO,D,60,280
ACDFINO,C,67,322
ACDFINO,A,82,373
AEFLRTU,U,89,414
AFIKNRS,S,72,301
AFIKNRS,R,74,326
AFIKNRS,N,79,328
AFIKNRS,K,52,203
AFIKNRS,I,95,366
AEFIKNR,N,86,339
AEFIKNR,K,55,193
AEFIKNR,I,91,362
AEFIKNR,F,61,275
AEFIKNR,E,85,321
AEFHMRT,M,86,343
AEFHMRT,H,76,348
AEFNORT,F,70,324
AEFHRST,F,70,355
ADEFRTW,F,59,264
ADEFRTW,D,94,446
ACGIRSU,U,79,384
ACGIRSU,S,95,455
ACGIRSU,I,85,405
ACGIRSU,C,68,377
ACEGHST,S,87,371
ACEGHST,H,77,333
ACEGHST,C,64,309
ADEGIST,I,94,432
ADEGIST,G,61,287
ADEGIST,D,99,464
AEGILSU,U,64,265
AEGILSU,I,90,431
AEGILSU,G,98,433
ADEGMNU,U,65,319
ADEGMNU,M,99,476
ADEGMNU,G,66,299
AEGMRTU,U,81,372
AEGMRTU,G,98,458
AGILNTU,U,78,365
ADEGRTV,T,92,488
ADEGRTV,G,90,477
ADEGRTV,D,90,441
AGINRTV,T,85,442
AGINRTV,G,95,501
AEGIRTV,V,78,497
AEGIRTV,G,95,515
AEGIRSV,V,78,400
AEGIRSV,I,91,398
AEGIRSV,G,83,415
AGIOPRT,P,75,321
AGIOPRT,O,89,394
AGIOPRT,I,77,305
AGIOPRT,G,51,169
AEGINOS,O,97,530
AEGINOZ,O,58,250
AEGINOZ,N,96,428
AEGINOZ,I,68,330
AEGINOZ,G,75,333
AEGINOZ,A,76,310
ACGHIPR,R,64,275
ACGHIPR,I,55,249
ACGHIPR,A,78,323
ABEGLRY,Y,95,469
ACGILOR,R,89,398
ACGILOR,O,96,432
ACGILOR,G,75,344
ACGILOR,C,84,431
AGMNORY,Y,60,263
AGMNORY,G,77,358
AGNOPRY,R,71,271
AGNOPRY,O,71,272
AGNOPRY,N,76,303
AGNOPRY,G,66,263
AGNOPRY,A,91,339
AGIORST,G,70,301
ADGNORU,U,61,257
ADGNORU,O,89,385
ADGNORU,N,98,417
ADGNORU,G,82,342
ADGNORU,D,97,407
AGINPRY,R,89,405
AGINPRY,P,68,322
AGINPRY,G,87,422
AEGILTU,U,58,226
AEGILTU,T,92,397
AEGILTU,I,67,301
AEGILTU,G,92,388
AEILNOR,O,99,420
AEILMSY,Y,61,293
ABEINOR,O,90,370
ABEINOR,I,88,426
ABHIRSU,U,78,369
ABHIRSU,I,76,366
ABHIRSU,H,72,350
ABHIRSU,B,74,359
ABIRSTU,U,93,433
ABIRSTU,B,92,383
ACDIKOR,R,92,374
ACDIKOR,O,68,260
ACDIKOR,I,71,327
ACDIKOR,D,71,293
ACDIKOR,C,80,365
ACDIKOR,A,97,412
ADEIMOR,O,100,433
AFILORW,R,52,193
AFILORW,O,55,190
AFILORW,L,80,280
AFILORW,I,56,204
AFILORW,F,59,233
AFILORW,A,70,269
ACEFIOR,O,54,233
ACEFIOR,I,71,320
ACEFIOR,F,67,293
ACEFIOR,E,100,462
ACEFIOR,C,92,434
ACEFIOR,A,85,374
ACIKLOR,R,86,350
ACIKLOR,O,80,293
ACIKLOR,L,95,360
ACIKLOR,K,60,212
ACIKLOR,I,84,331
ACIKLOR,C,98,425
ACEIRSW,I,82,372
ACEIRSW,C,88,470
AIMNORW,R,91,372
AIMNORW,I,86,396
AEKORTY,Y,50,188
AEKORTY,O,83,337
AEKORTY,E,91,355
AEKORTY,A,97,397
AEHKNOT,T,91,382
AEHKNOT,O,69,248
AEHKNOT,N,92,362
AEHKNOT,K,62,208
AEHKNOT,H,54,227
AEHKNOT,E,85,342
AEHKNOT,A,89,343
ACILRTY,Y,78,468
ABLORST,R,90,366
ABLORST,L,99,367
ABLORST,B,84,326
ABILMNS,N,100,531
ABILMNS,B,63,292
ABDEILU,U,58,259
ABDEILU,I,79,396
ABELMNU,U,65,285
ABELMNU,N,75,354
ABELMNU,M,91,435
ABELMNU,B,88,399
ABILMNU,U,67,318
ABILMNU,N,88,463
ABILMNU,B,60,290
ABELQRU,U,71,321
ABELQRU,R,84,384
ABELQRU,L,93,402
ABELQRU,E,96,423
ABELQRU,B,91,393
ABELQRU,A,89,380
ACLNOPT,T,89,425
ACLNOPT,P,64,263
ACLNOPT,N,76,369
ACLNOPT,L,95,383
ACLNOPT,C,82,369
ACEHILM,M,97,455
ACEHILM,H,71,375
ACEHILM,C,95,541
ACEHLMY,M,66,261
ACEHLMY,L,85,345
ACEHLMY,E,74,294
ACEHLMY,C,56,254
ACELNOY,Y,61,314
ACELNOY,O,98,440
ACELNOY,E,84,429
ADEFLRY,Y,91,416
ADEFLRY,F,78,387
ADELMOT,D,96,352
ADLNORV,R,62,231
ADLNORV,O,73,271
ADLNORV,N,58,218
ADLNORV,D,56,219
ADLNORV,A,83,293
AELORTY,Y,93,428
AEHLOSU,O,64,259
AEHLOSU,H,73,293
AEHLOSU,E,83,344
AEHLOSU,A,92,366
ABCEILM,C,78,441
ABCEILM,B,88,439
AELNORU,U,57,268
AELNORU,O,70,254
AELNORU,N,97,389
AELNORU,E,98,394
AEILNTU,U,68,327
ADELNRX,R,93,409
ADELNRX,N,91,422
ADELNRX,L,80,356
ABGILOR,R,95,388
ABGILOR,O,86,365
ABGILOR,I,90,351
ABGILOR,G,85,353
ABGILOR,B,79,333
AGIKLNO,K,59,240
AFILMOR,O,80,282
AFILMOR,M,99,389
AFILMOR,F,65,272
AILMNOY,Y,57,274
ACHILPT,P,70,327
ACHILPT,H,76,379
AILNQTU,T,66,301
AILNQTU,N,67,328
AILNQTU,L,55,234
AILNQTU,I,66,318
AILNQTU,A,74,352
AILOQTU,T,50,148
AEILNRZ,R,97,383
AEILNRZ,N,91,421
AEILNRZ,L,96,393
AEILNRZ,I,100,419
AEHKLST,K,56,228
AEHKLST,H,85,400
AIKLNTY,T,77,363
AIKLNTY,N,84,376
AIKLNTY,L,72,307
AIKLNTY,I,90,390
AEIKLNZ,N,79,309
AEIKLNZ,L,85,334
AEIKLNZ,K,58,208
AEIKLNZ,I,76,303
AEIKLNZ,E,75,293
AEIKLNZ,A,79,305
AIKLNRU,U,58,274
AIKLNRU,R,81,326
AIKLNRU,N,73,304
AIKLNRU,L,71,269
AIKLNRU,K,56,227
AIKLNRU,I,81,308
AEIKLRS,K,72,273
AEIKLRZ,R,68,213
AEIKLRZ,L,71,246
AEIKLRZ,I,64,223
AEIKLRZ,E,65,214
AEIKLRZ,A,80,250
ACIKLOT,T,92,412
ACIKLOT,O,85,322
ACIKLOT,I,91,415
ACIKLOT,C,98,463
AKLNOPT,T,65,295
AKLNOPT,P,57,249
AKLNOPT,O,83,303
AKLNOPT,N,62,259
AKLNOPT,L,73,281
AKLNOPT,A,95,380
ADGLNOR,R,91,390
ADGLNOR,L,85,396
ADGLNOR,D,92,412
AEGHLNY,N,53,234
AEGHLNY,L,80,332
AEGHLNY,G,62,264
AEGHLNY,E,72,293
AEGHLNY,A,94,375
AELNOTW,O,96,380
ADEILTV,V,82,425
ADEILTV,T,97,513
AGILORT,G,87,349
AHLMOTU,T,72,235
AHLMOTU,O,72,256
AHLMOTU,M,70,261
AHLMOTU,L,81,273
AHLMOTU,H,51,188
AHLMOTU,A,89,322
ABCELOT,C,99,563
AGLMOSU,U,54,195
AGLMOSU,S,79,294
AGLMOSU,O,67,248
AGLMOSU,M,79,299
AGLMOSU,G,60,221
AFGLORT,T,79,306
AFGLORT,R,72,266
AFGLORT,L,78,305
AFGLORT,G,58,236
AFGLORT,F,54,204
AGHLOPR,P,56,256
AGHLOPR,O,70,303
AGHLOPR,L,64,281
AGHLOPR,A,77,330
AHLMOPR,R,64,262
AHLMOPR,P,60,237
AHLMOPR,O,83,323
AHLMOPR,M,66,229
AHLMOPR,L,67,260
AHLMOPR,A,97,377
AHLOPTY,Y,52,262
AHLOPTY,T,64,267
AHLOPTY,P,64,261
AHLOPTY,O,81,327
AHLOPTY,L,86,350
AHLOPTY,H,52,225
AHLOPTY,A,84,371
ALOPRTY,Y,83,461
ALOPRTY,P,100,496
AEHLNOP,P,97,374
AEHLNOP,O,85,305
AEHLNOP,N,81,305
AEHLNOP,H,54,240
ACELNOW,O,81,321
ACELNOW,N,88,376
ACELNOW,L,96,384
ACELNOW,E,79,347
ACELNOW,C,75,357
ACELNOW,A,95,400
AGILNRU,U,100,495
AILNOSU,U,65,351
AILNOSU,O,85,410
AEILSUV,V,83,390
AEILSUV,U,52,267
AEILSUV,I,91,419
AILNOUV,O,52,207
AILNOUV,N,69,288
AILNOUV,L,75,313
AILNOUV,I,64,282
AILNOUV,A,74,313
AEFLNOS,O,95,407
AEFLNOS,F,52,265
ACEILOP,O,82,346
ACEILOP,I,88,454
ACEILOP,E,91,432
ADEILOP,O,84,350
AILOPSU,U,57,231
AILOPSU,O,65,259
AILOPSU,I,79,348
AILOPSU,A,100,409
ABEHLPT,P,73,321
ABEHLPT,H,54,197
ABEHLPT,B,68,265
AILMNPS,P,93,422
ALMOPRZ,R,53,189
ALMOPRZ,O,64,216
ALMOPRZ,M,52,162
ALMOPRZ,L,54,194
ALMOPRZ,A,73,256
AGHILRT,T,81,360
AGHILRT,R,72,295
AGHILRT,L,84,347
AGHILRT,G,56,222
AHILOPS,O,89,367
AHILOPS,I,94,433
AHILOPS,H,76,354
AELNRTY,Y,93,454
AGHLOTU,U,50,144
AGHLOTU,T,63,197
AGHLOTU,O,72,264
AGHLOTU,L,77,252
AGHLOTU,G,57,191
AGHLOTU,A,70,241
ADEILTU,U,54,234
ADEILTU,T,95,417
ADEILTU,I,91,417
ADILNTU,U,56,229
ADILNTU,T,70,321
ADILNTU,N,91,439
ADILNTU,L,83,350
ADILNTU,I,89,428
ADILNTU,D,61,262
ALORSTU,U,99,443
ALMORTU,U,70,294
ALMORTU,M,99,383
ALMORTU,L,81,285
AELNPTU,U,85,415
AELOSUV,V,61,303
AELOSUV,O,59,268
AELOSUV,E,97,430
AELOSUV,A,87,359
AEHMNOT,O,94,381
AEHMNOT,H,65,306
ADEGLMT,T,72,310
ADEGLMT,M,81,329
ADEGLMT,L,100,422
ADEGLMT,G,66,301
ADEGLMT,D,72,291
AGLMORT,T,86,326
AGLMORT,R,92,376
AGLMORT,M,85,339
AGLMORT,L,79,300
AGLMORT,G,63,288
AEIMNSU,U,66,344
AILMRSY,Y,63,316
AILMRSY,R,85,366
AGLMNTU,U,77,296
AGLMNTU,T,53,226
AGLMNTU,N,69,328
AGLMNTU,M,66,314
AGLMNTU,L,68,267
AGLMNTU,G,54,209
AIMORSU,U,75,366
AIMORSU,O,77,371
AIMORSU,I,89,393
ABDMORS,S,68,270
ABDMORS,R,97,371
ABDMORS,O,87,321
ABDMORS,M,82,310
ABDMORS,D,69,253
ABDMORS,B,61,254
ABDEMRS,B,98,468
ABCEIMN,M,89,413
ABCEIMN,I,86,418
ABCEIMN,E,79,370
ABCEIMN,C,65,359
ABEIMNT,B,66,293
ABIMORS,O,84,361
ABIMORS,I,93,395
ABIMORS,B,72,308
ABCLMRU,U,73,312
ABCLMRU,R,64,275
ABCLMRU,M,61,255
ABCLMRU,L,73,303
ABCLMRU,C,51,248
ABCLMRU,B,60,255
ABLMNTU,U,76,299
ABLMNTU,T,65,293
ABLMNTU,N,63,321
ABLMNTU,M,63,302
ABLMNTU,L,72,302
ABLMNTU,B,54,231
ABELMTU,U,88,396
ABELMTU,M,98,466
ABMOSTY,T,62,243
ABMOSTY,S,61,240
ABMOSTY,O,76,297
ABMOSTY,M,62,246
ABMOSTY,B,58,238
ABMOSTY,A,83,302
ABEIMOS,S,100,440
ABEIMOS,O,57,284
ABEIMOS,M,94,418
ABEIMOS,I,65,310
ABEIMOS,E,64,287
ABEIMOS,B,62,285
ABEIMOS,A,87,354
ABDEIMO,O,54,243
ABDEIMO,M,86,351
ABDEIMO,I,55,263
ABDEIMO,E,86,372
ABDEIMO,D,93,369
ABDEIMO,B,56,252
ABDEIMO,A,82,314
ABEMOSU,S,88,369
ABEMOSU,O,51,211
ABEMOSU,M,82,342
ABEMOSU,E,67,287
ABEMOSU,B,57,226
ABEMOSU,A,73,299
ADEIMRU,U,66,334
ABELMNS,B,97,483
AEHMNOR,H,52,246
ACEIMRU,U,53,263
ACEIMRU,I,85,375
ACEIMRU,C,91,479
AEHMSTY,T,97,406
AEHMSTY,M,85,320
AEHMSTY,H,69,276
ABILMTY,T,61,271
ABILMTY,M,61,259
ABILMTY,L,94,414
ABILMTY,I,79,343
ABILMTY,B,57,252
AHIMNTU,U,53,258
AHIMNTU,T,77,365
AHIMNTU,N,96,484
AHIMNTU,M,78,373
AHIMNTU,I,77,362
ABCILMY,Y,50,242
ABCILMY,M,64,279
ABCILMY,L,100,462
ABCILMY,I,74,348
ABCILMY,C,62,314
ABCILMY,B,57,265
ADHIMPS,P,52,289
ADHIMPS,M,83,428
ADHIMPS,I,99,482
ADHIMPS,H,60,358
